"brand","Sum(order)","brandOrderRatio","orderSumAllItems"
-1,2,0,1499894
0,103,0.00006867151945404142,1499894
1,2,0.0000013334275622143966,1499894
2,1,0.0000006667137811071983,1499894
3,30,0.000020001413433215946,1499894
4,246,0.00016401159015237078,1499894
5,353,0.000235349964730841,1499894
6,33527,0.022352912939181034,1499894
7,18,0.000012000848059929568,1499894
8,563,0.0003753598587633526,1499894
9,683,0.0004553655124962164,1499894
10,12,0.000008000565373286378,1499894
11,16,0.000010667420497715173,1499894
12,32,0.000021334840995430345,1499894
13,5,0.0000033335689055359913,1499894
14,423,0.0002820199294083449,1499894
15,163,0.00010867434632047331,1499894
16,54,0.000036002544179788706,1499894
17,80,0.00005333710248857586,1499894
18,64438,0.04296170262698564,1499894
19,630,0.0004200296820975349,1499894
20,2734,0.0018227954775470799,1499894
21,38,0.000025335123682073532,1499894
22,24,0.000016001130746572756,1499894
23,65,0.000043336395771967885,1499894
24,6,0.000004000282686643189,1499894
25,107,0.00007133837457847021,1499894
26,2,0.0000013334275622143966,1499894
27,325,0.00021668197885983944,1499894
28,516,0.0003440243110513143,1499894
29,14,0.000009333992935500775,1499894
30,20,0.000013334275622143965,1499894
31,27,0.000018001272089894353,1499894
32,38,0.000025335123682073532,1499894
33,41,0.00002733526502539513,1499894
34,134,0.00008933964666836456,1499894
35,149,0.00009934035338497254,1499894
36,1,0.0000006667137811071983,1499894
37,85,0.000056670671394111854,1499894
38,270,0.00018001272089894352,1499894
39,249,0.00016601173149569237,1499894
40,23,0.00001533441696546556,1499894
41,2,0.0000013334275622143966,1499894
42,35,0.00002333498233875194,1499894
43,1255,0.0008367257952895337,1499894
44,1,0.0000006667137811071983,1499894
45,634,0.0004226965372219637,1499894
46,343,0.000228682826919769,1499894
47,4,0.000002666855124428793,1499894
48,17,0.00001133413427882237,1499894
49,1,0.0000006667137811071983,1499894
50,320,0.00021334840995430345,1499894
51,59,0.0000393361130853247,1499894
52,336,0.0002240158304520186,1499894
53,484,0.00032268947005588395,1499894
54,25,0.000016667844527679958,1499894
55,281,0.0001873465724911227,1499894
56,3,0.0000020001413433215946,1499894
57,1,0.0000006667137811071983,1499894
58,44,0.000029335406368716722,1499894
59,16,0.000010667420497715173,1499894
60,11,0.0000073338515921791804,1499894
61,49,0.000032668975274252714,1499894
62,360,0.00024001696119859136,1499894
